regex,category,source
PAYNOW I CAMPUS P\.\.\. ,4,3
POPULAR.*,4,"4,5"
SCIENCE CENTRE,4,
SISTIC\* INTERNET,4,
SP JELLYHEARTS2023,4,4
SUN PARADISE - PARKWAY PA,4,
SuperPark Singapore Poror,4,
TOM & STEFANIE - PLQ,4,
UNIQLO .*,"4,7,9,10",4
YODOBASHI SHINJUKU WEST TOKYO,4,
.*NYLON COFFEE.*,5,"4,5"
1868 COFFEE HOUSE ST 1,5,
23ANDME CA,"5,6",
6E COFFEE,5,
ALCHEMIST.*,5,
AMAZON.*,"5,6,7,9,10","4,5"
APPLE STORE R669,5,
ARABICA,5,
Big Short Coffee,5,
CAMERA LENS,5,
CHALLENGER.*,"5,7",5
CHALONE INT,5,
Coexist,5,5
COFFEE HUT,5,2
COMMON MAN.*,5,
COMPOUND C.*,5,
CRAFTSMEN SPECIALTY COFFE,5,
DAL\.KOMM COFFEE,5,
DECENT913 DECENTESPRESS CA,5,
DOVER COFFE,5,
EXPRESSVPN\.COM HTTPSWWW\.EXPR DE,5,
FIA WEC TV - SPORTALL ALLAUCH,5,
FOTOHUB\.COM PTE LTD,5,5
HELLOINTERVIEW WWW\.HELLOINTE,5,5
HOKA - ION,5,
HOMEGROUND COFFEE ROAS,5,
HUMBLE ORIGINS COFFEE .*,5,"4,5"
IRACING MOTORSPORT SIMULA MA,5,
KOPIFELLAS.*,5,"4,5,7"
LOTTE DUTY FREE-T.*,5,5
LUCKINCOFFEE,5,
LULULEMON ATHLETICA SG PT,5,
lululemon HK limited Wanchai,5,
MAPCAMERA TOKYO,5,
MAVRX COFFEE BAR-GWC,5,
MYACTIVESG PLUS,5,1
NET\*ZERAH COFFEE,5,
NETFLIX\.COM,5,"4,5"
Netflix\.com Los Gatos,5,4
Nintendo,5,
OFFSEC OFFSEC\.COM,5,
ONE MAN COFFEE,5,
PERCOLATE\.SG,5,
PPP .*,5,
PUZZLE COFFEE \(ION ORHD\),5,
PYROAST.*,5,7
SAM,5,
Shein Shein,5,"4,5"
SHOPEE APPLEPAY,5,
SIBARISTPRO,5,
SLR REVOLUTION PL - EXCEL,5,
SMLIGHT\.TECH LUCERNE,5,
SNP\*KEY POWER SPORTS,5,
Song Fa@JEM,5,5
SONY CAMERA,5,
"SONY STORE, WESTGATE",5,5
SP FLUID COLLECTIVE,5,5
SP ICOSABREWHOUSECOM MISSISS8A,5,
SP PARCHMEN & CO,5,
SP PEAKDESIGN CHECKOUT\.PEAK CA,5,
SP ZERAHCOFFEE,5,"4,5"
SPRING COFFEE PTE LTD,5,
STARBUCKS.*,5,
STEAM PURCHASE SEATTLE,5,
TAKAGI COFFEE,5,
THE GROUND,5,
TRENDY & TRENDY,5,
TRIUMPH INT'L PL \(ION\),5,
UNDER ARMOUR.*,5,
VERNACULAR COFFEE PTE\. LT,5,
VICTORIA.*,5,
WACOAL SINGAPORE P/L - JU,5,
WTR-COEXIST-LLI,5,
WTRATLAS-COFFEEHOUSE,5,
YACHT 21 - SUNTEC CITY,5,
.*DERMAMEDIC.*,6,
.*HEART SPRING.*,6,4
ALPHA ASIA BEAUTY SPA,6,6
ASTERSPRING .*,6,"4,6"
EXERCISELONG.* EXERCISEANDME NC,6,
FFFREEDOM/ FFBMIAMI .* FL,6,
FIT FOR BIRTH PAYMENT WWW\.GETFITFOR FL,6,
HANDS - OC,6,6
KIMOJ PLQ MALL,"6,10",
